Brand,Model,Model_Type,Seats,Colors,Fuel_Type,Transmission,On_Road_Price,Location,Availability
Mahindra,Thar,SUV,4,5,Diesel,Manual,1662000,Chennai,Available
Tata,Tiago,Hatchback,5,2,Petrol,Manual,606000,Chennai,Available
Tata,Tiago EV,Hatchback,5,1,Electric,Automatic,849000,Chennai,Available
Tata,Tiago NRG,Hatchback,5,4,Petrol,Automatic,944999,Chennai,Available
Maruti Suzuki,Ignis,Hatchback,5,6,Petrol,Manual,696000,Chennai,Available
Mahindra,XUV 3XO,SUV,5,7,Diesel,Manual,1207000,Chennai,Available
Maruti Suzuki,Swift,Hatchback,5,4,Petrol,Manual,772000,Chennai,Available
Tata,Tigor,Sedan,5,2,Petrol,Manual,892000,Chennai,Available
Mahindra,BE 6,SUV,5,8,Electric,Automatic,2135000,Chennai,Available
Mahindra,Bolero Neo,SUV,7,5,Diesel,Manual,1205000,Chennai,Available
Tata,Curvv EV,SUV,5,4,Electric,Automatic,2053000,Chennai,Available
Tata,Curvv,SUV,5,4,Petrol,Automatic,1597000,Chennai,Available
Hyundai,Creta Electric,SUV,5,5,Electric,Automatic,1939000,Chennai,Available
Mahindra,XEV 9e,SUV,5,7,Electric,Automatic,2451000,Chennai,Available
Citroen,Basalt,SUV,5,2,Petrol,Manual,1019999,Chennai,Available
Hyundai,Alcazar,SUV,7,10,Petrol,Automatic,2698000,Chennai,Available
MG,Windsor EV,SUV,5,1,Electric,Automatic,1518000,Chennai,Available
Mahindra,Thar Roxx,SUV,5,3,Petrol,Manual,1657000,Chennai,Available
Nissan,Magnite,SUV,5,2,Petrol,Manual,745000,Chennai,Available
Maruti Suzuki,Dzire,Sedan,5,6,Petrol,Manual,813000,Chennai,Available
Citroen,Aircross,SUV,7,8,Petrol,Automatic,1813000,Chennai,Available
Hyundai,Creta,SUV,5,11,Petrol,Manual,1301000,Delhi,Available
Hyundai,Venue,SUV,5,4,Petrol,Manual,906000,Delhi,Available
Kia,Sonet,SUV,5,7,Petrol,Manual,950000,Delhi,Available
Kia,Syros,SUV,5,8,Petrol,Manual,1060000,Delhi,Available
Maruti Suzuki,Baleno,Hatchback,5,6,Petrol,Manual,758000,Delhi,Available
Maruti Suzuki,Brezza,SUV,5,5,Petrol,Manual,976000,Delhi,Available
